EmployeeID,FirstName,LastName,Gender,State,City,HireDate,Department,JobTitle,EducationLevel,PerformanceRating,Overtime,BaseSalary,BirthDate,TerminationDate,AdjustedSalary,Age,YearsOfService,IsActive,Email,PhoneNumber
EMP4F0FC630,Margaret,Johnson,Female,Texas,Houston,2021-04-17,IT,Network Engineer,Master's Degree,Excellent,Yes,87000,1995-03-03,,89000,30,3,TRUE,margaret.johnson@company.com,568-751-2062x76729
EMP2410AF43,Danielle,Taylor,Female,North Carolina,Charlotte,2022-02-09,Operations,Operations Manager,Master's Degree,Excellent,No,101000,1989-10-29,,103000,35,3,TRUE,danielle.taylor@company.com,001-309-679-3442x129
EMP6D50DA6A,Michael,Mcclain,Male,Michigan,Detroit,2017-02-03,Sales,Sales Representative,Associate's Degree,Good,No,49000,1974-02-20,,49000,51,8,TRUE,michael.mcclain@company.com,(950)422-3477x80457
EMP467151CA,Leslie,Johnson,Female,Florida,Jacksonville,2017-02-06,Engineering,Senior Software Engineer,PhD,Good,No,121000,1988-11-24,,127000,36,8,TRUE,leslie.johnson@company.com,(318)640-7033x982
EMPB4503321,Colleen,Wagner,Female,Pennsylvania,Harrisburg,2020-01-11,Human Resources,HR Specialist,Bachelor's Degree,Good,Yes,54000,1987-11-28,2023-08-06,54000,37,3,FALSE,colleen.wagner@company.com,882.933.7209x451
EMP3E89F8B4,Christina,Santos,Female,Texas,Dallas,2024-07-30,Sales,Sales Director,Master's Degree,Satisfactory,No,118000,1964-07-23,,123000,60,0,TRUE,christina.santos@company.com,(370)463-6328x6301
EMP1A4A1ED5,Jennifer,Cole,Female,North Carolina,Charlotte,2017-04-19,Finance,Accountant,Bachelor's Degree,Good,Yes,62000,1985-06-10,,62000,39,7,TRUE,jennifer.cole@company.com,(600)584-8426
EMPC9311110,Robert,Smith,Male,Pennsylvania,Erie,2019-11-09,Engineering,Engineering Manager,Master's Degree,Good,No,158000,1987-12-14,,166000,37,5,TRUE,robert.smith@company.com,836.979.6082
EMP03B74AE4,Caitlin,Henderson,Female,Illinois,Chicago,2024-04-17,IT,IT Manager,Bachelor's Degree,Satisfactory,No,136000,1981-12-07,,137000,43,0,TRUE,caitlin.henderson@company.com,001-713-860-5494x6920
EMP289EEC1E,Christopher,Bernard,Male,Pennsylvania,Pittsburgh,2015-05-11,Sales,Sales Representative,High School,Good,No,52000,1972-01-06,,53000,53,9,TRUE,christopher.bernard@company.com,790-213-2495x193
EMPA69BE4F8,Ashley,James,Female,Texas,Fort Worth,2018-05-20,Operations,Project Manager,Bachelor's Degree,Good,Yes,96000,1981-03-07,,97000,44,6,TRUE,ashley.james@company.com,+1-201-515-4617x5808
EMP23BB1828,Ryan,Munoz,Male,Illinois,Rockford,2022-11-10,Sales,VP of Sales,Master's Degree,Excellent,Yes,167000,1963-10-28,,179000,61,2,TRUE,ryan.munoz@company.com,889.804.4104x04315
EMP00428639,Andrew,Stevens,Male,California,San Diego,2022-02-18,Finance,Finance Manager,Bachelor's Degree,Excellent,No,108000,1985-05-13,,111000,39,3,TRUE,andrew.stevens@company.com,751.735.3814x83747
EMP03196055,Valerie,Gray,Female,Pennsylvania,Pittsburgh,2019-08-03,Operations,Operations Manager,Master's Degree,Excellent,No,112000,1968-12-24,,116000,56,5,TRUE,valerie.gray@company.com,903.909.0168x56471
EMPACC8F5EE,Elaine,Fuller,Female,New York,Buffalo,2023-12-10,Human Resources,Recruiter,Associate's Degree,Good,Yes,70000,1988-02-24,,68000,37,1,TRUE,elaine.fuller@company.com,-1629.00
EMPE41E262B,Scott,Ray,Male,Florida,Orlando,2022-10-01,Human Resources,Recruiter,Associate's Degree,Good,No,57000,1999-08-12,,57000,25,2,TRUE,scott.ray@company.com,916.811.5866x8611
EMP733C1144,Andrea,Stanley,Female,New York,Syracuse,2015-10-28,Sales,Sales Representative,Associate's Degree,Good,No,46000,1981-01-04,,45000,44,9,TRUE,andrea.stanley@company.com,259.783.3261x705
EMPFD412F4D,Dylan,Miller,Male,North Carolina,Greensboro,2020-03-31,IT,IT Support Specialist,High School,Satisfactory,Yes,67000,1997-04-23,,67000,27,4,TRUE,dylan.miller@company.com,-7387.00
EMPE93AD9DD,Sharon,James,Female,North Carolina,Greensboro,2024-06-25,Engineering,Software Engineer,Master's Degree,Satisfactory,No,84000,1989-04-15,,86000,35,0,TRUE,sharon.james@company.com,472-885-3533x99824
EMP1CC524F8,Mark,Diaz,Male,Illinois,Rockford,2023-05-24,Operations,Operations Analyst,Bachelor's Degree,Good,No,73000,1997-07-14,,75000,27,1,TRUE,mark.diaz@company.com,(821)977-5801x5846
EMP6775D040,Henry,Santiago,Male,North Carolina,Winston-Salem,2018-09-30,Engineering,Software Engineer,Bachelor's Degree,Good,No,86000,1991-01-04,,89000,34,6,TRUE,henry.santiago@company.com,+1-930-830-2853x272
EMP2C70E39B,Timothy,Wong,Male,North Carolina,Charlotte,2020-08-24,Sales,Sales Manager,Master's Degree,Excellent,Yes,82000,1987-03-01,,86000,38,4,TRUE,timothy.wong@company.com,(698)834-5150x25285
EMP50D856D5,Madison,Ferguson,Female,Illinois,Springfield,2020-04-05,IT,Systems Administrator,Bachelor's Degree,Satisfactory,No,75000,1980-03-06,2024-03-04,76000,45,3,FALSE,madison.ferguson@company.com,930-487-3089
EMP4AD49400,Joel,Nelson,Male,Georgia,Atlanta,2019-12-26,Engineering,Senior Software Engineer,PhD,Good,Yes,141000,1987-01-31,,152000,38,5,TRUE,joel.nelson@company.com,001-607-438-2777x7118
EMP42BF94D2,Mark,Hawkins,Male,North Carolina,Raleigh,2018-09-23,Marketing,Marketing Specialist,Associate's Degree,Needs Improvement,Yes,61000,1977-03-01,,62000,48,6,TRUE,mark.hawkins@company.com,227-486-3090x07121
EMP28B89817,Erika,Tate,Female,North Carolina,Raleigh,2018-01-22,Marketing,CMO,Bachelor's Degree,Good,No,186000,1961-03-10,,190000,64,7,TRUE,erika.tate@company.com,001-942-334-4730x577
EMP9D1E1745,Crystal,Johnson,Female,North Carolina,Durham,2021-05-03,Human Resources,HR Specialist,Bachelor's Degree,Good,No,55000,1996-11-17,2021-12-07,55000,28,0,FALSE,crystal.johnson@company.com,001-896-919-9716x59656
EMP5787CB96,Derek,Clark,Male,North Carolina,Raleigh,2015-08-09,Engineering,Software Engineer,Bachelor's Degree,Good,No,80000,1970-10-01,2016-11-09,84000,54,1,FALSE,derek.clark@company.com,(740)499-6833x44009
EMP66824481,Ernest,Rios,Male,Texas,Houston,2017-06-03,Sales,Sales Manager,Master's Degree,Good,No,72000,1980-01-22,,76000,45,7,TRUE,ernest.rios@company.com,(442)465-3793
EMPA5BA7BCD,Stephen,Day,Male,Florida,Tallahassee,2017-02-25,Sales,Sales Representative,Bachelor's Degree,Needs Improvement,No,59000,1976-05-16,,61000,48,8,TRUE,stephen.day@company.com,791-643-9070
EMPF85BA391,Deborah,Wright,Female,Georgia,Athens,2021-08-07,Finance,Finance Manager,Master's Degree,Good,Yes,103000,1970-01-12,,107000,55,3,TRUE,deborah.wright@company.com,236.301.5791x1501
EMP874C2283,Kimberly,Burgess,Female,Ohio,Toledo,2021-06-16,Operations,Director of Operations,Master's Degree,Good,No,160000,1966-05-11,2023-12-15,166000,58,2,FALSE,kimberly.burgess@company.com,(626)900-8026x5893
EMP7786DA09,Kevin,Cox,Male,Pennsylvania,Philadelphia,2021-02-23,Operations,Operations Manager,Bachelor's Degree,Excellent,Yes,106000,1973-07-21,,111000,51,4,TRUE,kevin.cox@company.com,497-383-3548x83571
EMP28712B06,Jordan,Davis,Male,New York,Rochester,2016-01-19,Finance,Financial Analyst,Master's Degree,Good,Yes,71000,1991-06-13,,75000,33,9,TRUE,jordan.davis@company.com,596-479-1463x8664
EMPFCEA6C04,Shannon,Hernandez,Female,North Carolina,Charlotte,2021-03-04,Marketing,Content Writer,Bachelor's Degree,Excellent,No,58000,1982-03-07,,59000,43,3,TRUE,shannon.hernandez@company.com,4316726652.00
